Timestamp,Open,Close,Low,High,Volume_(BTC),Volume_(Currency),Weighted_Price,hash_rate,Search_volume,Block_size,Difficulty,active_addresses,Block_time,Average fees,mining_profitability,Transactions,Tweets_volume
2017-01-16,821.86,831.81,818.09,835.0,6166.043977409992,5107031.212180805,831.81,2830308.31,4.0,758252.0,336899932796.0,513070,8.521,0.32,0.64,267471,24103
2017-01-17,831.76,905.99,827.0,908.5,12264.16938457,10775497.864694156,905.97596527,2646087.06,4.0,900159.0,336899932796.0,551064,9.114,0.327,0.682,292539,25648
2017-01-18,905.95,887.7,851.74,915.99,11181.898878460004,9830117.653795503,886.98492835,2528855.36111398,4.0,893760.0,336899932796.0,574624,9.6,0.321,0.648,296950,26491
2017-01-19,887.69,901.01,878.89,910.0,11094.603297609998,9929647.20052122,901.7567898,2914045.25056,4.0,834286.0,336899932796.0,620881,8.276,0.333,0.764,300431,27848
2017-01-20,902.23,895.8,880.0,902.43,6618.627764060005,5915865.486704524,895.8,3165256.04802,4.0,722190.0,336899932796.0,587282,7.619,0.314,0.744,298188,23365
2017-01-21,895.81,921.98,895.0,928.0,5865.632030560007,5373391.084223701,921.98981584,3031276.95603728,4.0,693006.0,336899932796.0,552658,7.956,0.329,0.678,263381,20833
2017-01-22,921.98,923.76,886.76,937.74,7166.665478899998,6569177.192469336,922.90134243,3398969.89226,4.0,674477.0,339477557143.0,495222,8.276,0.339,0.701,236712,20816
2017-01-23,923.75,913.52,913.21,927.57,3514.7414294600007,3234454.303261204,915.20895503,2715269.05187,4.0,908601.0,392963262344.0,550007,10.435,0.425,0.531,235392,24809
2017-01-24,913.15,885.47,881.48,923.0,9405.046565000006,8495975.45751466,885.47,2910612.14912321,4.0,973575.0,392963262344.0,603034,9.664,0.467,0.671,278028,28304
2017-01-25,885.47,893.43,884.5,904.01,5291.554742110012,4725942.373002703,893.43,2930146.45885,4.0,987758.0,392963262344.0,614252,9.664,0.396,0.618,304578,27278
2017-01-26,893.25,914.83,892.86,919.49,5164.897019900007,4688102.252710948,914.83,3066886.62693,4.0,993055.0,392963262344.0,627055,9.29,0.356,0.605,313600,24366
2017-01-27,914.95,918.02,908.01,924.88,4830.535162209996,4433746.381185054,918.02,3320832.65336205,4.0,837597.0,392963262344.0,605182,8.471,0.396,0.634,263162,23178
2017-01-28,918.02,918.6,913.08,920.99,1175.863529829999,1078884.5222586042,918.6,2969215.0783,4.0,877383.0,392963262344.0,555265,9.474,0.456,0.593,246243,21300
2017-01-29,918.6,912.01,910.45,919.99,1349.0148003299978,1234746.0817456632,912.01190697,3262229.72419,4.0,862409.0,392963262344.0,566127,8.623,0.454,0.666,241460,20789
2017-01-30,913.12,919.99,910.0,923.0,3121.1875444299967,2865063.727397299,919.99550165,2852009.21994623,4.0,955029.0,392963262344.0,545227,10.0,0.501,0.577,247264,27170
2017-01-31,919.99,963.99,917.5,970.0,9507.101832240012,9024041.550260482,963.99343984,2832474.91022,4.0,959463.0,392963262344.0,569731,9.931,0.444,0.633,307538,23711
2017-02-01,963.99,983.67,962.0,986.96,6954.399471630002,6748543.967250261,983.67,3750587.46733,4.0,962207.0,392963262344.0,675244,7.5,0.428,0.725,350368,22600
2017-02-02,983.79,1009.17,973.12,1011.65,8269.680536490001,8222686.790321706,1009.17,3066886.62692848,4.0,913874.0,392963262344.0,583892,9.172,0.543,0.587,259402,23547
2017-02-03,1009.15,1016.99,987.01,1022.64,10928.024221309974,11029881.304367902,1016.99,2910612.14912,4.0,970736.0,392963262344.0,606928,9.664,0.507,0.774,323414,26694
2017-02-04,1015.06,1033.18,1004.0,1044.23,5752.287339689995,5884560.602843193,1033.2211301,3043000.8428700007,4.0,952073.0,393571747856.0,592108,10.0,0.494,0.627,284634,27112
2017-02-05,1033.72,1011.07,1004.7,1034.6,4348.1704502400025,4417546.505790783,1011.07,3336807.82080216,5.0,957862.0,422170566884.0,571232,9.057,0.474,0.686,291942,23530
2017-02-06,1010.03,1023.99,1005.1,1031.94,5080.848354719996,5188721.522580573,1023.7517405,2623276.58868,5.0,979118.0,422170566884.0,556820,11.52,0.685,0.581,229902,29026
2017-02-07,1024.0,1052.48,1021.3,1056.25,5372.1326253,5605838.106667848,1052.4784259,3168918.11913,5.0,945598.0,422170566884.0,629062,9.536,0.545,0.77,325117,30138
2017-02-08,1052.48,1050.4,1025.0,1070.0,9633.264651939991,10072826.835041124,1050.7937033,3063987.05557934,5.0,961046.0,422170566884.0,594709,9.863,0.535,0.641,308170,26445
2017-02-09,1051.73,986.0,913.73,1074.69,25150.07016399,25064862.064338844,985.9101474,3546669.9479,5.0,955947.0,422170566884.0,641833,8.521,0.513,0.701,346375,27886
